ITEM ID                                       | BODY LOCATION                  | BLOOD LOCATION
------------------------------------------------------------------------------------------------------------------------
F_Hair_Stubble                                | base:zeddmg                    | 
M_Beard_Stubble                               | base:zeddmg                    | 
M_Hair_Stubble                                | base:zeddmg                    | 
Dress_Knees                                   | base:dress                     | ShortsShort;Shirt
DressKnees_Straps                             | base:dress                     | ShortsShort;Shirt
Dress_Long                                    | base:longdress                 | Trousers;Shirt
Dress_long_Straps                             | base:longdress                 | Trousers;Shirt
Dress_Normal                                  | base:longdress                 | Trousers;Shirt
Dress_SatinNegligee                           | base:dress                     | ShortsShort;Shirt
Dress_Short                                   | base:dress                     | ShortsShort;Shirt
Dress_SmallBlackStrapless                     | base:dress                     | ShortsShort;Shirt
Dress_SmallBlackStraps                        | base:dress                     | ShortsShort;Shirt
Dress_SmallStrapless                          | base:dress                     | ShortsShort;Shirt
Dress_SmallStraps                             | base:dress                     | ShortsShort;Shirt
Dress_Straps                                  | base:longdress                 | Trousers;Shirt
WeddingDress                                  | base:fullsuit                  | Trousers;Shirt
BlackRobe                                     | base:bathrobe                  | Trousers;Shirt
Dress_Long_Crafted_Burlap                     | base:longdress                 | Trousers;Shirt
Dress_Long_Crafted_Cotton                     | base:longdress                 | Trousers;Shirt
Dress_Long_Crafted_Denim                      | base:longdress                 | Trousers;Shirt
Dress_Long_Crafted_DenimBlack                 | base:longdress                 | Trousers;Shirt
Dress_Long_Crafted_DenimLight                 | base:longdress                 | Trousers;Shirt
Dress_Knees_Crafted_Burlap                    | base:dress                     | ShortsShort;Shirt
Dress_Knees_Crafted_Cotton                    | base:dress                     | ShortsShort;Shirt
Dress_Knees_Crafted_Denim                     | base:dress                     | ShortsShort;Shirt
Dress_Knees_Crafted_DenimBlack                | base:dress                     | ShortsShort;Shirt
Dress_Knees_Crafted_DenimLight                | base:dress                     | ShortsShort;Shirt
Dress_SmallGarbageStrapless                   | base:dress                     | ShortsShort;Shirt
Dress_SmallTarpStrapless                      | base:dress                     | ShortsShort;Shirt
